id;text;rating;source;url;id
0;Удивительно вкусные позы и черебуки, невероятные! Все свежее, только что приготовленное. Спасибо!;5;2 месяца назад на Yandex;https://restaurantguru.ru/Bagulnik-Russia-6;0
1;Всё понравилось;5;3 месяца назад на Yandex;https://restaurantguru.ru/Bagulnik-Russia-6;0
2;"Замечательный магазин! Всё необходимое (продукты, промышленные и строительные товары) есть в наличии, что очень удобно в посёлке. 
А также  кафе, где очень радушные хозяева и вкусная бурятская кухня (позы просто объедение!)";5;3 месяца назад на Yandex;https://restaurantguru.ru/Bagulnik-Russia-6;0
3;Хорошее кафе, приятное место);5;5 месяцев назад на Yandex;https://restaurantguru.ru/Bagulnik-Russia-6;0
4;Место достойное с вкуснейшими бузами, лучшими во всей округе!! Рядом парковка. Есть, где пройтись. До Байкала пешком не далеко.;5;5 месяцев назад на Yandex;https://restaurantguru.ru/Bagulnik-Russia-6;0
5;Хороший магазин всё есть. Чебуреки, пирожки и тд. Ассортимент товаров огромный. Продавцы приветливые. ;5;7 месяцев назад на Yandex;https://restaurantguru.ru/Bagulnik-Russia-6;0
6;Бузы отличные, девченки приветливые, рекомендую!;5;7 месяцев назад на Yandex;https://restaurantguru.ru/Bagulnik-Russia-6;0
7;хороший магазин;4;8 месяцев назад на Yandex;https://restaurantguru.ru/Bagulnik-Russia-6;0
8;Дороговато;3;9 месяцев назад на Yandex;https://restaurantguru.ru/Bagulnik-Russia-6;0
9;В основном закрыто. Работает в летнее время, наверное.;5;11 месяцев назад на Yandex;https://restaurantguru.ru/Bagulnik-Russia-6;0
10;Очень нравится, место крутое;5;11 месяцев назад на Yandex;https://restaurantguru.ru/Bagulnik-Russia-6;0
11;Магазин единственный где можно все купить ,  продавцы приветливые , подскажут где снять жилье если нужно;5;год назад на Yandex;https://restaurantguru.ru/Bagulnik-Russia-6;0
12;Позы - огонь!  Давно не пробовал таких. Спасибо! Молодцы! ;5;год назад на Yandex;https://restaurantguru.ru/Bagulnik-Russia-6;0
13;Кафе хорошее для такой маленькой деревни. Хозяйка Олеся готовит вкусные буузы и суп бухлёр. Детям понравились котлеты и пюре. На завтрак вкусные каши и блинчики. Будем рядом обязательно заедем;5;год назад на Yandex;https://restaurantguru.ru/Bagulnik-Russia-6;0
14;Позы, половина без сока.. (;4;4 месяца назад на Yandex;https://restaurantguru.ru/Bagulnik-Russia-6;0
15;Норм магаз;5;год назад на Yandex;https://restaurantguru.ru/Bagulnik-Russia-6;0
16;Всё супер!;5;год назад на Yandex;https://restaurantguru.ru/Bagulnik-Russia-6;0
17;Все понравилось;5;9 месяцев назад на Yandex;https://restaurantguru.ru/Yurta-Russia-6;1
18;Отличная кухня. Всё вкусно. Есть музей.;5;год назад на Yandex;https://restaurantguru.ru/Yurta-Russia-6;1
19;Лучшие позы в мире) Обалденный бухлер! Процветания и побольше положительных отзывов);5;год назад на Yandex;https://restaurantguru.ru/Yurta-Russia-6;1
20;Хорошая уютная позная. Меню небольшое, но все вкусно. Брали позы, боовы, шулэн - все хорошо. Рядом большая юрта, там старинные штуки, бабуля весело рассказывала про Бугульдейку) Рады, что нам подсказали место, а то никогда не знали где поесть в Бугульдейке. Спасибо. Игорь;5;год назад на Yandex;https://restaurantguru.ru/Yurta-Russia-6;1
21;Самые вкусные позы на Байкале. Можно заказать по телефону с доставкой.;5;8 месяцев назад на Yandex;https://restaurantguru.ru/Lastochka-Russia;2
22;Работает по звонку, тоесть нужно позвонить заранее и сделать заказ, всегда есть позы 80р штука. Самое блиское кафе к Байкалу. Видел как там отмечали местные свой праздник, значит вкусно);3;год назад на Yandex;https://restaurantguru.ru/Lastochka-Russia;2
