Unnamed: 0,name,url,id
0,Багульник,https://restaurantguru.ru/Bagulnik-Russia-6,0
1,Юрта,https://restaurantguru.ru/Yurta-Russia-6,1
2,Ласточка,https://restaurantguru.ru/Lastochka-Russia,2
3,Юрта,https://restaurantguru.ru/Yurta-Elantsy,3
4,Кафе Удачное,https://restaurantguru.ru/Kafe-Udachnoye-Russia,4
5,Бухта Песчаная,https://restaurantguru.ru/Bukhta-Peschanaya-Russia,5
6,Кафе Палуба,https://restaurantguru.ru/Cafe-Bar-Paluba-Khuzhir,6
7,Кафе Наран,https://restaurantguru.ru/Kafe-Naran-Russia,7
8,Тажераны,https://restaurantguru.ru/Tazherany-Russia,8
9,Граница,https://restaurantguru.ru/Granitsa-Russia,9
10,"Кафе ""Байкальская, 35""",https://restaurantguru.ru/Cafe-Baikalskaya-35-Khuzhir,10
11,Бригантина,https://restaurantguru.ru/Brigantina-Russia,11
12,Белый месяц,https://restaurantguru.ru/Belyy-Mesyats-Bayanday,12
13,Аяншан,https://restaurantguru.ru/Kafe-EVA-Russia,13
14,Бууза Wow,https://restaurantguru.ru/Kafe-BuzaWow-Russia,14
15,Жемчуг,https://restaurantguru.ru/Zhemchug-Russia-2,15
16,Ирландский паб Harat's pub,https://restaurantguru.ru/Harats-Pub-Nadezhda-Russia,16
17,Кафе Феникс,https://restaurantguru.ru/Feniks-Russia-3,17
18,Уютное,https://restaurantguru.ru/Uyutnoye-Russia,18
19,Harat's Pub Надежда,https://restaurantguru.ru/Harats-Pub-Nadezhda-Russia-2,19
20,Нютаг-Байкал,https://restaurantguru.ru/Nyutag-Baikal-Russia,20
21,Кафе М55,https://restaurantguru.ru/Kafe-M55-Russia-2,21
22,Ника,https://restaurantguru.ru/Nicks-Cafe-Cafe-Nika-Russia,22
23,Как дома,https://restaurantguru.ru/Kak-Doma-Russia,23
24,Лас-Вегас,https://restaurantguru.ru/Las-Vegas-Russia-2,24
25,Алтана,https://restaurantguru.ru/Altana-Russia,25
26,Кафе Сахюрта,https://restaurantguru.ru/Kafe-Sakhyurta-Russia,26
27,Байкальская солянка,https://restaurantguru.ru/Baikalskaya-solyanka-Russia,27
28,Куркут,https://restaurantguru.ru/Kurkut-Russia,28
29,Радуга,https://restaurantguru.ru/Dorozhnoye-Kafe-Russia,29
30,Уютное,https://restaurantguru.ru/Kafe-Russia-1066,30
31,7 Колодец,https://restaurantguru.ru/7-Kolodes-Russia,31
32,Русское подворье,https://restaurantguru.ru/Russkoye-podvorye-Russia,32
33,Уютное кафе,https://restaurantguru.ru/Uyutnoye-Kafe-Russia-3,33
34,Рестобар Сова,https://restaurantguru.ru/Restobar-Sova-Russia,34
35,Этнопарк Золотая Орда,https://restaurantguru.ru/Ethnopark-Golden-Horde-Russia,35
36,Талисман,https://restaurantguru.ru/Kafe-Talisman-Baykal-Russia,36
37,У Михалыча,https://restaurantguru.ru/U-Mikhalycha-Belogorsk,37
38,Остров сокровищ,https://restaurantguru.ru/Ostrov-sokrovish-Russia-3,38
39,Лотос,https://restaurantguru.ru/Lotos-Russia-6,39
40,Юрта,https://restaurantguru.ru/Yurta-Bayanday,40
41,"""Зенит"" база отдыха",https://restaurantguru.ru/Zenit-baza-otdykha-Russia,41
42,Магазин и Кафе АННА,https://restaurantguru.ru/Magazin-I-Kafe-Anna-Russia,42
43,Талисман,https://restaurantguru.ru/Kafe-Talisman-Russia,43
44,Горячий хлеб,https://restaurantguru.ru/Goryachii-khleb-Russia-35,44
45,"Кафе "" Байкал""",https://restaurantguru.ru/Baikal-Russia-4,45
46,Столовая,https://restaurantguru.ru/Stolovaya-Russia-93,46
47,База отдыха Байкальский ветер,https://restaurantguru.ru/Baza-Otdykha-Baykalskiy-Veter-Russia,47
48,Талаан,https://restaurantguru.ru/Talaan-Russia-2,48
49,Delmar,https://restaurantguru.ru/Delmar-Russia,49
50,Сайндэр,https://restaurantguru.ru/M-55-Russia,50
51,"Кафе ""Терраса""",https://restaurantguru.ru/Terrasa-Russia-4,51
52,Дарина,https://restaurantguru.ru/Darina-Ust-Ordynsky,52
53,Бурятская кухня,https://restaurantguru.ru/Buryatskaya-kukhnya-Babushkin,53
54,Баяр,https://restaurantguru.ru/Bayar-Ust-Ordynsky,54
55,Мандархан СИТИ,https://restaurantguru.ru/Mandarkhan-Siti-Russia,55
56,Надежда,https://restaurantguru.ru/Nadezhda-Russia,56
57,Вера,https://restaurantguru.ru/Kafe-Russia-258,57
58,Магистраль,https://restaurantguru.ru/Magistral-Ilyinka-Buryatia,58
59,"Бар-ресторан ""Боцман""",https://restaurantguru.ru/Bar-restoran-Botsman-Russia,59
60,Кузьминки,https://restaurantguru.ru/Kafe-U-Kuzminki-Stoyanka-Russia,60
61,Белый Альбатрос,https://restaurantguru.ru/Kafe-Albatros-Russia,61
62,Буузная дацана,https://restaurantguru.ru/Buuznaya-dasana-Ust-Ordynsky,62
63,Даурия,https://restaurantguru.ru/Dauriya-Russia,63
64,Кафе У ФЕДИ,https://restaurantguru.ru/Kafe-U-FEDI-Russia,64
65,Россиянка,https://restaurantguru.ru/Rossiyanka-Kafe-Ilyinka-Buryatia,65
66,Суши,https://restaurantguru.ru/Sushi-Russia-12,66
