id_cat;text
0;"Вкусные позы классические и рыбные (что меня удивило, первый раз такие ела и понравились). И, конечно же, медовик - пальчики оближешь, а ещё таежный десерт со сгущенкой ??Имейте в виду, если будете планировать ужин в этом месте - бронируете столик заранее. Вечером здесь полно народу, что не плохо (с одной стороны;)).Мы брали здесь еду с собой и ужинали в своем номере в Маленьком Шале, где самый сказочный вид на этом острове ????Всем приятного аппетита ??????"
0;Отличный ресторан! Готовят вкусно и не долго, подойдет для взрослых и детей. Заведение не большое, но очень уютное. Персонал приветливый. Нам с семьей очень понравилось, определенно рекомендую для посещения!
0;Очень вкусный чай! Домашний тортик! Но всем просто рекомендую обязательно попробовать бузы с омулем!!! Очень приятный дружелюбный персонал, который сделает ваше времяпрепровождение более комфортным и уютным.
1;В кафе вкусная и разнообразная еда. Представлены как блюда национальной бурятской кухни ( бухлер, буузы, хуширы, цуйван, домбар) так и обычные наггетсы картофель фри, солянка, уха и т д. Вкусные чаи, безалкогольный глинтвейн. Есть пиво. Народу всегда очень много. Но обслуживают быстро. Оплата сразу при заказе на кассе, в чеке номер, который официант выкрикивает, вынося заказ в зал. Цены средние. Из минусов - ушатанная разномастная мебель, как будто с разных помоек собранная, разнокалиберная посуда, сервировка тоже - больше название. Таким образом, это не ресторан, а кафе - бистро с вкусной едой быстрым обслуживанием
1;Помещение желает реставрации, а интерьер обновления. Стиль кафе столовка. Только кухня радовала, вкусно и разнообразно. Есть местная кухня для тех, кто не пробовал Буузы, Бухл?р, Хушур.. По чистоте 3,туалет грязный, нечем руки вытирать, сушилка еле работает. 
1;"Вкусно и уютно. Еда на ресторанном уровне. Бузы самые лучшие) пельмени настоящие. И выпечка …прям как в городе ?? сюда придти и поесть и взрослым и детям и выпить кофе. Готовят в прямом режиме, так что закладывать время на приготовление ; Бузы 15/20 мин. И это шикарно! ( на фото, только выпечка, свое мясное я уже съела) Спасибо большое ."
1;В кафе вкусная и разнообразная еда. Представлены как блюда национальной бурятской кухни ( бухлер, буузы, хуширы, цуйван, домбар) так и обычные наггетсы картофель фри, солянка, уха и т д. Вкусные чаи, безалкогольный глинтвейн. Есть пиво. Народу всегда очень много. Но обслуживают быстро. Оплата сразу при заказе на кассе, в чеке номер, который официант выкрикивает, вынося заказ в зал. Цены средние. Из минусов - ушатанная разномастная мебель, как будто с разных помоек собранная, разнокалиберная посуда, сервировка тоже - больше название. Таким образом, это не ресторан, а кафе - бистро с вкусной едой быстрым обслуживанием
1;Помещение желает реставрации, а интерьер обновления. Стиль кафе столовка. Только кухня радовала, вкусно и разнообразно. Есть местная кухня для тех, кто не пробовал Буузы, Бухл?р, Хушур.. По чистоте 3,туалет грязный, нечем руки вытирать, сушилка еле работает. 
1;"Вкусно и уютно. Еда на ресторанном уровне. Бузы самые лучшие) пельмени настоящие. И выпечка …прям как в городе ?? сюда придти и поесть и взрослым и детям и выпить кофе. Готовят в прямом режиме, так что закладывать время на приготовление ; Бузы 15/20 мин. И это шикарно! ( на фото, только выпечка, свое мясное я уже съела) Спасибо большое ."
1;Великолепная домашняя кухня!Бюджетно, большие порции и все очень вкусно.Чебуреки огромные, начинки много.брали много блюд, были там несколько раз и всегда все вкусно.
1;Главный плюс места - можно попробовать сесть без брони. Людей много, но это возможно.Обслуживание средней скорости. Официанты особо по блюдам не подскажут, заказывать все нужно на кассе.Буузы нормальные, но не самые вкусные. Много мест на острове, где они вкуснее бывают. Буузы бывают на грани, что могут порваться.По дороге на Шаманку или обратно зайти можно, могут работать даже когда электричество отключилось, но тем не менее заходил только 1 раз за все пребывание на Ольхоне
1;Вкусными в этом кафе  можно назвать чебуреки (большой, сочный, с настоящим мясным фаршем) и свежие пирожки (вкусное воздушное тесто,много начинки,есть пирожки с черемшой). Уха, так называемая, это суп с рисом, в кот. будто случайно оказался кусок рыбы, при чем в меню это не указано, а хотелось настоящего прозрачного наваристого рыбного бульона....Остальные блюда посредственны,хотя съедобны. Вопросы вызывыет чистота столов,приборов, работа официантов,которые много путаются, забывают принести приборы,игнорируют просьбы. И стая огромных псов,которые практически мордой залязят в тарелки посетителей на веранде.В общем, ожидания не совсем совпали с реальностью...
1;Большой ассортимент, много посадочных мест, и летняя веранда - это вс? кафе Далай. У них очень приемлемые цены, но столы и стулья как в советских столовых, в этом есть свой уют. Милое заведение! 
1;Лучшее кафе в округе, где была) Вкуснейшие чебуреки, классный цезарь, щедрый чаек с облепихой. Жареная рыбка огонь))Пустили со своей маленькой собачкой, спасибо) Мне очень понравилосьСразу за нами пришла толпа и все места заняли Поставьте еще столы. У вас аншлаг, ребята)Посоветовал гид. Еще сюда пришли иностранцы)А вообще просто и по домашнему. Зашла сюда случайно, тк этническое кафе рядом было закрыто. Сделайте вывеску поярче))
1;Все очень понравилось. Порции полновесные . быстрое обслуживание. Вкусно готовят и цены доступные. Только на кассе молодой человек, не очень приветливый  слегка грубоват . создается впечатление, что вынужденно работает и посетителям не рад. Вот девушка официантка , супер ! Все у нее спорится и приветливая . Отдельное спасибо этой девушке . Место хорошее рекомендую.
1;Отличное место в селе Хужир!Завтракали, обедали и ужинали тут. Вкусная и качественная еда. Очень приятный персонал, который заботится о посетителях.Спасибо!
