negative_text;positive_text;hotel_id
В домиках на 3-их, неудобный сенсорный кран  у раковины, очень долго льется горячая вода. Шведский стол (завтрак) скудный, но вкусный;Приветливый персонал, в домике на 3-их было тепло, даже одну батарею выключили;496528_101hotels
;;496528_101hotels
;;496528_101hotels
;;496528_101hotels
;;496528_101hotels
;;496528_101hotels
;;496528_101hotels
;;496528_101hotels
"Хозяйка комплекса — невежественная и грубая женщина, которая совершенно не знает, что такое общение с клиентом и вежливое общение в принципе. За время проживания наш номер ни разу не прибрали. На воде тотально экономят — из раковины в номере она бежала малюсенькой струйкой и только холодная.

В довершение ко всему нам пришлось наблюдать, как на турбазу нагрянули судебные приставы и расспрашивали постояльцев об условиях проживания. После визита приставов хозяйка турбазы спешно ретировалась и не возвращалась.";;496528_101hotels
Место хорошее, персонал не особо отзывчивый, проконсультировать или подсказать что-то не смогут;;496528_101hotels
;;496528_101hotels
;;496528_101hotels
;Близко к пляжу;496528_101hotels
;;496528_101hotels
;;496528_101hotels
;;496528_101hotels
Завтраки скудноваты, но это на любителя. Отсутствие урн и пепельниц на территории, но тоже персональная история;Номера просторные, вид из окна на Байкал и скалы, на лошадей. В шаговой доступности магазины и кафе, все достопримечательности рядом с Хужуром, порт. Никто не шумел, воздух чистейший, выспался. Есть беседки, мангалы, бассейн, батуты и площадка для детей.;496528_101hotels
;Приветливый персонал. Чистота и уют в номере. Сытные завтраки.;496528_101hotels
;;496528_101hotels
;;496528_101hotels
Минусов нет, есть пожелание: хотелось бы, чтобы и ужины были в отельном ресторане;Описание отеля полностью соответствует действительности, красивая территория, ресторан очень понравиося и интерьером и питанием,завтраки очень сытные обильные. На ресепшене есть микроволновка,чайник.;496528_101hotels
;;496528_101hotels
;;496528_101hotels
На сайте выбирали домик по факту номер оказался! Будьте внимательны! Кружки принесли не мытые. С краном в какие-то не поладки, то холодная, то горячая, брызгает во все стороны! Простынь не по размеру, все спадает, комкается... Мыло крошечное... Комната маленькая, на мой взгляд, дорого берут!;Отлично расположен! Завтрак включён. Вкусно кормят. Отличная детская площадка и зона отдыха на улице.;496528_101hotels
"1. Заселение после 14.00 . Мы приехали в 18.00 и нас никто не ждал ! Минут 10 уточняли в какой же номер нас заселить .
2. Адский холод в номерах. Выдали ПЛАТНЫЙ обогреватель,  но он не справлялся . 
3. Отключение горячей воды на ночь ! Это что вообще??? Утром просыпаешься и ждёшь тупо помыться .
4. Персонал вообще отдельная статья ! Никакого уважения к гостям . Всё нужно выпрашивать,  уборку не проводят. 
5. Хозяйка, даже не пытается сделать что то для гостей. Трубки не берет,  на гостей ей пофиг мягко говоря!";Расположение. Удобно добраться до любой достопримечательности.;496528_101hotels
;;496528_101hotels
"- на смесителе раковины нет регулировки температуры, через несколько секунд начинает течь кипяток, умыться и почистить зубы сложно
- отопление только от электрообогревателя из-за этого очень сухой воздух
- унитаз установлен близко к стене и под углом для крупных людей это будет проблемой
- не было стаканчика для щётки и рожка для обуви
- не было указателей (стрелок) куда двигаться, когда заходишь на территорию комплекса, не было таблички на входной двери в столовую (из-за этого было не понятно в какую дверь заходить)
- в номере нет тумбочки - одежду хранила на стуле
- входная дверь очень туго закрывается и открывается, приходилось применять силу";"- очень мягкая кровать
- тёплое толстое одеяло
- бесконтактный датчик на смесителе раковины
- кнопка подачи воды на лейке душа";496528_101hotels
Холодно как на улице, за эти деньги можно было бы снять теплое жилье у местных, но мы об этом не знали. Двери все на соплях. Входная дверь еле закрывается, замок там как в кабинете. Естественно дует из всех щелей. Пол ледяной. В отзыве на другой платформе администрация ответила, что теплый пол не предусмотрен в экономе. Но речи о теплых полах и не было;Нормальные сытные завтраки, теплые одеяла в номерах, красивый вид. Удобное расположение: близко как до озера, так и до магазинов и кафе.;496528_101hotels
Отмечу только, что мне не понравилось питание настолько, что приходила в уютную ( что есть, то есть) столовую, чтобы только выпить кофе  с блинчиками ( которые не всегда пекут)  и взять с собой странную колбасу или сосиску для голодных собачек ( на Ольхоне их немало). Каши несъедобные, выпечка малосъедобная. Сотрудницы столовой- очень милые женщины...но я оцениваю не их, а то, что мне подавали на завтрак.;Номер комфортный для проживания ( хотя чайник в номер,  лампу для чтения, минибар с питьевой водой и небольшой шкафчик или закрытая тумбочка с полками не помешали бы). Пусть и как доп.опция за доп.оплату.Чайник, микроволновка, холодильник есть, но для общего пользования. Я - из тех гостей, которым не привычно делить указанные выше вещи ( как и санузел) с кем-то еще...но это меня в поездке не сильно беспокоило.Кровать очень удобная, спала с удовольствием и высыпалась. Тишину после 23ч.обеспечивали сотрудники гостиницы.Вид из окна - какой и хотела, территория отеля освещена и украшена.Сотрудники - приятные в общении люди, хозяйка гостиницы- чудесная и внимательная. Удаленность от достопримечательностей, кафе, магазинов и соотношение условий предоставленных в гостинице цена- качество меня устраивало. В целом- хороший отзыв и мои рекомендации.;496528_101hotels
"Если вы забронировали данный отель то будьте готовы к следующим трудностям :
1. Без предупреждения отключают горячую воду на ночь, когда мы пришли уставшие после прогулки по Хужиру, неожиданно обнаружили что нет горячей воды, выяснилось что они делают так каждую ночь и нам сделали БОЛЬШОЕ одолжение и включили её снова.
2. Отключают отопление
Абсолютно без предупреждения, просто потому что на 3 градуса на улице потеплело хотя на улице было 0 градусов
После того как мы, попросили включить батареи нас обругала в грубой форме хозяйка и все таки после долгих уговоров пообещали включить . В этот день у нас отменилась поездка и пришлось сидеть в номере, включили ближе к вечеру, батареи были еле тёплые .
На следующий день нам надо было выселяться проснувшись утром  в 7 00 обнаружили что батареи опять холодные и в номере жутко холодно, в итоге мы простыли. 
Итак если вас не смущает тот факт - что горячую воду могут отключить в любой момент,  и отключить отопление, а также при спорной ситуации с хозяйкой вас обругают  то смело Бронируйте этот чудесный отель , странно что у них так много положительных отзывов, скорее всего это их за персонала - Екатерина и Сергей которые реально делают все что могут в условиях тотального террора хозяйки гостиницы";В целом уютные номера, есть все необходимое;496528_101hotels
;Все замечательно! Замечательные люди, очень вкусная еда, все в пошаговой доступности. Нам очень понравилось! Отдельное спасибо Татьяне за еду с любовью, Катерине за решение всех вопросов!;496528_101hotels
"Сервис никакой, встретили с грустнам настроением. Хотели дать вообще не тот номер, пришлось отстаивать свои права и доказывать, что я оплатила
Слышимость очень хорошая, слышно как в соседнем номере по телефону разговаривают";Тёплые номера, есть все пренадлежности, чистая территория. Хорошие сытные завтраки;496528_101hotels
Невоспитанная хозяйка базы, неувожительнок отношение к гостям. Холодные домики, душевая сломонная, завтраки плохие,;Хорошая погода;496528_101hotels
Замечаний нет;Расположение гостиницы для нас было удобное, администратор всё организовала, тур по Южному полуострову, договорилась, чтоб нас встретили с самолёта, всё просто отлично и место силы сказочное, всё просто волшебное!!! Благодарим!!!!;496528_101hotels
Обрушение, что комплекс требует доделки. Вроде бы все новое, красивое, но где-то лежат доски для ремонта, где-то проблема с канализацией.. если все доделать будет просто люкс);Отзывчивый персонал. Симпатичные номера. Красивая столовая. Близость к скале Шаманка.;496528_101hotels
"Холодно в номере, 
Кран подтекал,
Мусор не выносили, не прибирали, 
Шампунь, гель для душа не пополняли, перед заселением долго выясняли, кто мы и как оплачивали номер";"Зимой двухместные номера не в общем блоке не рекомендую брать. Холодно, в дверях щели. Нам выдали обогреватель. Обещали повестить телевизор - не повесили. Он не особо был нужен, так что просто забили. 
Труба перемёрзла, полдня не было воды. 
Персонал доброжелательный. Самое лучшее - еда. Вкусно и сытно.";496528_101hotels
;;249578_101hotels
;;249578_101hotels
;;249578_101hotels
;Чисто, уютно. В номере много розеток. До Шаманки и порта 15-20 минут, до пляжа - 10.;249578_101hotels
;Проснорные, чистейшие, тёплые номера. Белоснежное бельё и полотенца. Горячая вода круглосуточно. Персонал приветливый, доброжелательный. Все достопримечательности в шаговой доступности. Кафе очень уютное. Меню порадовало. Качаство приготовления тоже.;249578_101hotels
;;249578_101hotels
;;249578_101hotels
В ванной комнате нет полочки где можно поставить косметические и банные принадлежности. Так же нет сушилки, чтобы посушить бельё, и хотелось что бы на окнах была тюль. Так немного уютней.;;249578_101hotels
"Слишком скромно и тесно за эту сумму.
Вид из окна. 5 номер. Смежность с соседним номером.";Чистота;249578_101hotels
;Чистый, уютный номер, горячая вода без перебоев, просторный балкон, удобные кровати, в номере есть все необходимое, расположен удобно, недалеко от центра поселка. Вежливый, приятный администратор.;249578_101hotels
;;249578_101hotels
;Чистый отель, чистое постельное белье и полотенца, удобства в номере, горячая вода есть (перебоев не было),  приветливый персонал, красивый вид с балкона на Байкал. Плюсом является кафе рядом. В кафе чисто, ребята улыбчивые, доброжелательные, готовят просто, вкусно, по-домашнему и у них обалденные булочки). Прикольно сделали, что в конце меню есть доп. информация об экскурсиях по острову-очень удобно для тех, кто первый раз. Цены как и везде, сопровождающий в экскурсиях нам очень понравился);249578_101hotels
;;249578_101hotels
;Очень уютный отель, в номере было все необходимое. Местоположение - отличное.;249578_101hotels
;;249578_101hotels
;;249578_101hotels
;Уютное место, в округе очень красивая природа, множество развлекательных мест. Все понравилась, отношение персонала к отдыхающим достойное. Ценовая политика доступна для каждого туриста.  В комнатах сделан косметический ремонт, все современное, много места, в комнате хорошо работает система кондиционирование.;249578_101hotels
;Хороший и новый номер с видом на озеро. Есть все необходимое для комфортного отдыха. Территория большая и облагороженная, персонал подготовлен и дружелюбен. Понравилась, организованная сотрудниками рыбная ловля. Кушали в местном ресторане с большим выбором блюд. Отдыхом остались полностью довольны.;249578_101hotels
;На этой турбазе провели всего пару выходных, моей семье все понравилось, по возможности будем приезжать еще. Цена за предоставляемый домик вполне адекватная, абсолютно не завышена.;249578_101hotels
;Не первый раз отдыхаем в этом кемпинге. Отличный персонал, который работает не первый год и дружелюбная атмосфера. Мы много путешествуем, поэтому выбираем самые простые номера, но и в них есть все необходимое. Уверена, что вернемся в это место.;249578_101hotels
;Отличный и комфортабельный кемпинг. Нам понравилось, что заселили нас очень быстро и администратор всегда был на связи. В номере было чисто, свежее постельное и полотенца. В местном кафе пробовали различные блюда, остались очень довольны отдыхом.;249578_101hotels
"1. Слышимость присутствует, но решается колонкой с музыкой.
2. Не выдали чайник, закончились.
3. В кафе иногда персонала не докричишься, нет безналичного расчета.
4. Телевизора не хватает, за такие деньги ))";Расположение отличное - рядом с Сарайским пляжем, недалеко супермаркеты и главная улица. Чисто, тепло, всё работает. Управляющий Виктор просто душка, всегда поможет. В кафе очень вкусно кормят, позы лучшие, что пробовали на Ольхоне. Кровати и подушки удобные, спали как котята.;570584_101hotels
"Не возможно дозвониться по номеру который указан на сайте отеля, девушка, просто игнорит вызовы.
Нет вывески отеля, что сильно затрудняет его поиск.";Очень отзывчивый сотрудник, молодой человек по имени Вадим, если не ошибаюсь, спасибо ему огромное!;570584_101hotels
;;570584_101hotels
;;570584_101hotels
;;570584_101hotels
;;570584_101hotels
Муж погрустил, что нет телевизора в номере, но в общем-то он особо не был нужен.;Очень чисто, номер на 4х человек выглядит новым. В номере есть душевая кабина, туалет, полотенца и вроде даже туалетные принадлежности все (гель для душа итд), но мы пользовались своими, так что точно не скажу:) Территория тоже аккуратная, есть место на улице посидеть возле мангала (стол+скамьи). Детям разрешили попрыгать на батуте (что ещё нужно для счастья?). Также есть небольшое кафе от тех же хозяев, попробовали позы и чебуреки, взяли даже с собой в дорогу. Вкусно и не дорого;570584_101hotels
;;570584_101hotels
мы не заметили;Прекрасное обслуживание, чистый уютный номер. Удобное расположение гостевого дома по отношению к Сарайскому пляжу и смотровым площадкам. Хорошая банька и вкусное питание.;570584_101hotels
;;15210_101hotels
