name;rating;min_price;rating.quality_of_sleep;rating.location;rating.service;rating.cleanness;rating.meal;lon;lat;id
Вдохновение;8.5;3500;8.5;8.9;8.1;8.5;8.5;107.354812;53.196358;496528_101hotels
Кемпинг-отель Ольхон;8.9;3000;8.7;8.9;8.9;9.1;9.6;107.35403;53.194243;249578_101hotels
Баргузин;9.2;6500;9.3;9.8;9.1;9.4;10;107.351443;53.200021;570584_101hotels
Берег Надежды;9.1;3600;8.9;9.4;9.1;8.9;9.3;107.33;53.19444839;15210_101hotels
Порт Ольхон;8.7;14000;8.5;8.7;8.3;8.5;8.1;107.332004;53.193143;458938_101hotels
Дача БайкалЭко;9;6000;9.3;8.9;9.4;9.6;9.6;107.349862;53.191616;654408_101hotels
Baikal View Hotel;9.3;8750;8.9;9.1;9.6;9.4;9.3;107.307;53.17815559;15192_101hotels
BaikalWood Eco Lodge & Spa;9;10500;8.9;9.3;9.6;9.4;9.4;107.361;53.19407291;227948_101hotels
Эльдорадо;9.1;5000;9.1;9.1;8.9;9.1;8.7;106.8731;53.02227563;13175_101hotels
Флагман;9.4;9500;9.6;8.9;9.6;9.8;10;107.35624;53.192522;496517_101hotels
Усадьба Набаймар;8.9;5859;9.1;9.1;8.7;8.9;8.9;107.338;53.1971546;650956_101hotels
ENDEMIC;8.5;6500;8.3;9.1;8.9;8.7;8.7;106.825;53.03840587;559425_101hotels
Звезда Кочевника;8.7;9500;8.7;9.1;8.5;8.9;8.7;107.359;53.198316;559466_101hotels
Мелодия Ольхона;9.1;6500;9.3;9.4;9.3;9.4;9.3;107.412;53.22354029;632322_101hotels
Да-ши;8.7;6960;8.5;9.3;8.9;8.7;8.3;106.805;53.07949051;9002_101hotels
Чара;9.3;8679;9.3;9.3;9.3;9.4;9.4;106.80373;53.07369;9198_101hotels
Алтан;8.7;2600;8.7;9.3;7.9;8.5;9.1;106.80505;53.09516;13168_101hotels
Воробьёвы горы;8.4;7000;8.3;8.5;8.7;8.9;8.7;106.8872;53.00043932;13169_101hotels
Родные берега;8.9;4000;9.1;7.8;8.7;9.3;9.3;106.807;53.07954112;13170_101hotels
Сарминская;8.9;1200;8.9;9.4;8.9;8.9;9.8;106.81133;53.07617;13171_101hotels
Тойнак;8.5;3000;8.3;8.7;8.1;8.1;8.3;106.81101;53.08818;79583_101hotels
Комфорт румс на Байкале;7.2;600;6.8;7.2;7.4;6.8;7.2;106.83286;53.10173;490451_101hotels
Ранчо Лагуна;8.5;2010;10;10;10;10;10;106.95399;53.172257;167120_101hotels
Уединенный домик на Байкале;7.9;1500;7.6;8.3;7.6;7.6;8.7;106.84292;53.09804;490452_101hotels
Золотая Антилопа;8;1500;8.7;8.7;8.7;8.7;8.7;106.96851;53.180813;167122_101hotels
Сарма;7.6;2000;8.7;8.7;8.7;8.7;8.7;106.83567;53.09902;490456_101hotels
Пирс;8.2;2160;9.3;9.3;9.3;9.3;9.3;106.95111;53.17106;167128_101hotels
Sarmagrad;7.8;750;7.6;8.5;6.8;7.8;0;106.83537;53.10285;559421_101hotels
Уюга;8.2;5500;9.3;9.3;9.3;9.3;9.3;106.947;53.16793925;188946_101hotels
Звезда;0;2000;0;0;0;0;0;106.80684;53.06803;559423_101hotels
Уюга;8.8;4000;9.1;9.4;9.4;9.4;9.4;106.948;53.16795027;273454_101hotels
Гостевые комнаты Сарма Байкал;6.1;500;5.5;7.2;5.5;6.6;0;106.79499;53.0672;559424_101hotels
Юрточное Кочевье;8.9;2200;0;0;0;0;0;106.945;53.16566463;458846_101hotels
Мухтуя;9.6;3500;9.6;9.6;9.3;9.6;0;106.7988;53.08306;559427_101hotels
Усадьба Дорофеева;9.7;4500;10;9.6;9.6;9.8;0;106.96758;53.16957;559410_101hotels
База отдыха Берег Байкала;9;0;7.8;9.3;9.3;9.3;10;106.80195;53.08745;625682_101hotels
На Байкале;8.6;2800;9.3;8.5;7.4;8.7;0;106.96873;53.17835;625379_101hotels
