id;name;source;address;type;agr_type;lat;lon;region;original_address;sameness;reffers_to
90;Универсальный Спортивный комплекс Байкал-спорт;все_yandex_отфильровано_обединено_нормировано_25_03_2024.csv;;спортивный комплекс;;;;;;;
245;Хужирский краеведческий музей имени Н.М. Ревякина;все_yandex_отфильровано_обединено_нормировано_25_03_2024.csv;Первомайская ул., 2, посёлок Хужир;музей;Культурно-познавательный туризм;53.19456;107.338312;Ольхонский;1;1;
395;Историко-краеведческий музей;все_yandex_отфильровано_обединено_нормировано_25_03_2024.csv;ул. Пенкальского, 8, село Еланцы;музей;Культурно-познавательный туризм;52.798024;106.400212;Ольхонский;1;1;
546;Aloha Olkhon Sup;все_yandex_отфильровано_обединено_нормировано_25_03_2024.csv;Иркутская область, Ольхонский район, посёлок Хужир;сапсёрфинг;Активный туризм;53.193305;107.331556;Ольхонский;1;0;
547;Sup-Sup;все_yandex_отфильровано_обединено_нормировано_25_03_2024.csv;ул. Пушкина, 25/2, посёлок Хужир;сапсёрфинг;Активный туризм;53.197879;107.343329;Ольхонский;1;0;
548;СапОльхон;все_yandex_отфильровано_обединено_нормировано_25_03_2024.csv;Иркутская область, Ольхонский район, остров Ольхон;сапсёрфинг;Активный туризм;53.181783;107.293847;Ольхонский;1;0;
561;Смотровая площадка;все_yandex_отфильровано_обединено_нормировано_25_03_2024.csv;Иркутская область, Ольхонский район;смотровая площадка;Культурно-познавательный туризм;53.153462;106.95805;Ольхонский;1;0;
591;Смотровая площадка;все_yandex_отфильровано_обединено_нормировано_25_03_2024.csv;Иркутская область, Ольхонский район, мыс Крест;смотровая площадка;Культурно-познавательный туризм;52.99005;106.923566;Ольхонский;1;0;
598;Обзорная беседка;все_yandex_отфильровано_обединено_нормировано_25_03_2024.csv;Иркутская область, Ольхонский район, остров Ольхон;смотровая площадка;Культурно-познавательный туризм;53.167235;107.315793;Ольхонский;1;0;
599;Смотровая площадка;все_yandex_отфильровано_обединено_нормировано_25_03_2024.csv;Иркутская область, Ольхонский район, остров Огой;смотровая площадка;Культурно-познавательный туризм;53.12871;106.998229;Ольхонский;1;0;
600;Смотровая площадка;все_yandex_отфильровано_обединено_нормировано_25_03_2024.csv;Иркутская область, Ольхонский район, остров Ольхон;смотровая площадка;Культурно-познавательный туризм;53.064984;106.912123;Ольхонский;1;0;
601;Смотровая площадка;все_yandex_отфильровано_обединено_нормировано_25_03_2024.csv;Иркутская область, Ольхонский район, остров Ольхон;смотровая площадка;Культурно-познавательный туризм;53.203992;107.342953;Ольхонский;1;0;
602;Шаманка;все_yandex_отфильровано_обединено_нормировано_25_03_2024.csv;Иркутская область, Ольхонский район, остров Ольхон;смотровая площадка;Культурно-познавательный туризм;53.204121;107.341687;Ольхонский;1;0;
604;Смотровая площадка;все_yandex_отфильровано_обединено_нормировано_25_03_2024.csv;;смотровая площадка;Культурно-познавательный туризм;52.732261;106.546499;Ольхонский;1;0;
